"","score","protein1","protein2"
"32101",0.964,"FOXO1","STAT3"
"32102",0.909,"SMAD3","STAT3"
"32103",0.924,"CREB1","STAT3"
"32104",0.957,"DNMT1","STAT3"
"32105",0.928,"PTK2","STAT3"
"32106",0.984,"IL6","STAT3"
"32107",0.976,"IL12RB1","STAT3"
"32108",0.907,"EGF","STAT3"
"32109",0.992,"RELA","STAT3"
"32110",0.999,"SRC","STAT3"
"32111",0.944,"IL17A","STAT3"
"32112",0.994,"STAT3","TP53"
"32113",0.973,"EZH2","STAT3"
"32114",0.995,"JUN","STAT3"
"32115",0.993,"IL6R","STAT3"
"32116",0.948,"CUL1","FBXL20"
"32117",0.93,"NMNAT1","NNT"
"32118",0.908,"NNT","SIRT7"
"32119",0.909,"BST1","NNT"
"32120",0.921,"NNT","SIRT5"
"32121",0.906,"NNT","SIRT6"
"32122",0.91,"NADSYN1","NNT"
"32123",0.924,"NMNAT2","NNT"
"32124",0.926,"NNT","SIRT3"
"32125",0.949,"NADK2","NNT"
"32126",0.931,"FGF10","HSPG2"
"32127",0.991,"FGF10","KL"
"32128",0.995,"FGF10","FGFR4"
"32129",0.922,"CD44","FGF10"
"32130",0.999,"FGF10","FGFR1"
"32131",0.924,"FGF10","SHH"
"32132",0.99,"EGF","FGF10"
"32133",0.981,"FGF10","FGFR3"
"32134",0.902,"FGF10","FRS2"
"32135",0.987,"FGF10","FGFBP1"
"32136",0.926,"EGFR","FGF10"
"32137",0.999,"FGF10","FGFR2"
"32138",0.921,"NOC2L","NSUN2"
"32139",0.919,"NOP2","NSUN2"
"32140",0.994,"CTBP1","MECOM"
"32141",0.905,"MAPK8","MECOM"
"32142",0.929,"HDAC2","MECOM"
"32143",0.901,"MAPK9","MECOM"
"32144",0.958,"CTBP2","MECOM"
"32145",0.968,"HDAC1","MECOM"
"32146",0.988,"MECOM","RUNX1"
"32147",0.998,"UFM1","UFSP2"
"32148",0.914,"DDRGK1","UFSP2"
"32149",0.91,"UBA5","UFSP2"
"32150",0.933,"ACPP","KLKB1"
"32151",0.914,"F3","KLKB1"
"32152",0.996,"KLKB1","SERPING1"
"32153",0.999,"KLKB1","KNG1"
"32154",0.936,"KLKB1","PLG"
"32155",0.957,"A2M","KLKB1"
"32156",0.902,"CAD","NAT8L"
"32157",0.945,"ASNS","CAD"
"32158",0.967,"CAD","GLUL"
"32159",0.963,"ADSS2","CAD"
"32160",0.918,"CAD","GLS2"
"32161",0.908,"CAD","CPS1"
"32162",0.909,"CAD","GOT1L1"
"32163",0.949,"CAD","GFPT1"
"32164",0.904,"ASRGL1","CAD"
"32165",0.93,"CAD","GLS"
"32166",0.954,"ADSS1","CAD"
"32167",0.994,"ASS1","CAD"
"32168",0.925,"CAD","GOT1"
"32169",0.915,"AHCYL1","DNMT3A"
"32170",0.998,"DNMT3A","H3-4"
"32171",0.997,"DNMT3A","HDAC1"
"32172",0.923,"DNMT3A","H3C6"
"32173",0.998,"DNMT3A","H3-2"
"32174",0.993,"DNMT3A","EHMT2"
"32175",0.952,"DNMT3A","TCL1A"
"32176",0.999,"DNMT3A","EZH2"
"32177",0.931,"DNMT3A","H3-3A"
"32178",0.999,"DNMT3A","H3C12"
"32179",0.926,"DNMT3A","TRDMT1"
"32180",0.999,"DNMT3A","H3C13"
"32181",0.999,"DNMT1","DNMT3A"
"32182",0.924,"DNMT3A","PRMT5"
"32183",0.996,"DNMT3A","SUV39H1"
"32184",0.922,"DNMT3A","H3C3"
"32185",0.957,"DNMT3A","SMARCA4"
"32186",0.991,"DNMT3A","MYC"
"32187",0.949,"DNMT3A","MECP2"
"32188",0.933,"DNMT3A","TDG"
"32189",0.931,"DNMT3A","MAT2A"
"32190",0.967,"DNMT3A","UHRF1"
"32191",0.999,"DNMT3A","DNMT3L"
"32192",0.913,"AHCYL2","DNMT3A"
"32193",0.912,"DNMT3A","H3C4"
"32194",0.924,"DNMT3A","MAT1A"
"32195",0.998,"DNMT3A","H3-5"
"32196",0.964,"DNMT3A","H3C1"
"32197",0.914,"DNMT3A","TLE3"
"32198",0.97,"DNMT3A","HDAC2"
"32199",0.939,"ASXL1","DNMT3A"
"32200",0.932,"DNMT3A","MAT2B"
"32201",0.909,"DNMT3A","H3C10"
"32202",0.914,"DNMT3A","H3C2"
"32203",0.993,"DNMT3A","MPHOSPH8"
"32204",0.996,"DNMT3A","SETDB1"
"32205",0.915,"DNMT3A","KMT5B"
"32206",0.909,"DNMT3A","H3C7"
"32207",0.998,"DNMT3A","DNMT3B"
"32208",0.91,"DNMT3A","H3C14"
"32209",0.91,"DNMT3A","H3C8"
"32210",0.946,"DNMT3A","TET2"
"32211",0.91,"DNMT3A","H3C15"
"32212",0.91,"DNMT3A","H3C11"
"32213",0.929,"MYO5B","RAB10"
"32214",0.935,"MYO5A","RAB10"
"32215",0.911,"RAB10","RABIF"
"32216",0.978,"RAB10","RILPL1"
"32217",0.958,"GDI2","RAB10"
"32218",0.968,"RAB10","RILPL2"
"32219",0.954,"RAB10","TBC1D4"
"32220",0.984,"RAB10","SLC2A4"
"32221",0.964,"GDI1","RAB10"
"32222",0.974,"MICAL1","RAB10"
"32223",0.992,"KIF3A","KIF3C"
"32224",0.999,"KIF3C","KIFAP3"
"32225",0.998,"FOS","FOSL2"
"32226",0.936,"FOSL2","MAPK9"
"32227",0.946,"FOSL2","MAPK8"
"32228",0.918,"ATF7","FOSL2"
"32229",0.999,"FOSL2","JUNB"
"32230",0.998,"FOSL1","FOSL2"
"32231",0.999,"FOSL2","JUN"
"32232",0.995,"GPN1","RPAP2"
"32233",0.915,"GPN1","POLR2G"
"32234",0.982,"GPN1","GPN2"
"32235",0.913,"GPN1","RUVBL1"
"32236",0.987,"GPN1","GPN3"
"32237",0.987,"GPN1","RPAP1"
"32238",0.904,"GPN1","PFDN6"
"32239",0.975,"GPN1","POLR2B"
"32240",0.962,"GPN1","POLR2J"
"32241",0.932,"GPN1","XPA"
"32242",0.93,"SOX2","TP63"
"32243",0.93,"PERP","TP63"
"32244",0.953,"TP53","TP63"
"32245",0.997,"TP63","TP73"
"32246",0.955,"CLDN16","TJP1"
"32247",0.923,"CLDN16","FXYD2"
"32248",0.995,"CLDN16","CLDN19"
"32249",0.952,"ITGA9","TNC"
"32250",0.997,"ITGA9","ITGB1"
"32251",0.989,"ITGA9","VCAM1"
"32252",0.912,"ITGA9","TNR"
"32253",0.921,"ITGA9","TNXB"
"32254",0.979,"ITGA9","SPP1"
"32255",0.945,"FN1","ITGA9"
"32256",0.986,"ADD1","ANK1"
"32257",0.955,"ADD1","TMOD3"
"32258",0.994,"ADD1","EPB41"
"32259",0.983,"ADD1","ANK3"
"32260",0.969,"ADD1","TMOD4"
"32261",0.993,"ADD1","DMTN"
"32262",0.981,"ADD1","ADD3"
"32263",0.988,"ADD1","ANK2"
"32264",0.995,"CALM3","KCNN2"
"32265",0.931,"KCNN2","KCNN3"
"32266",0.932,"KCNN1","KCNN2"
"32267",0.969,"KCNMA1","KCNN2"
"32268",0.907,"KCNN2","PRKCA"
"32269",0.927,"CALML5","KCNN2"
"32270",0.941,"KCNMB1","KCNN2"
"32271",0.927,"CALML3","KCNN2"
"32272",0.915,"CALML6","KCNN2"
"32273",0.942,"KCND2","KCNN2"
"32274",0.982,"CALM2","KCNN2"
"32275",0.922,"KCNN2","KCNN4"
"32276",0.948,"KCNN2","KCNU1"
"32277",0.919,"KCNMB2","KCNN2"
"32278",0.907,"KCNN2","PRKCB"
"32279",0.915,"CALML4","KCNN2"
"32280",0.928,"KCNMB3","KCNN2"
"32281",0.978,"CALM1","KCNN2"
"32282",0.941,"PLPP1","PLPP6"
"32283",0.977,"SLC22A11","SLC2A9"
"32284",0.996,"SLC22A12","SLC2A9"
"32285",0.968,"LDB1","LYL1"
"32286",0.921,"CBFB","LYL1"
"32287",0.966,"LDB2","LYL1"
"32288",0.911,"COL11A2","COL5A3"
"32289",0.929,"COL5A3","LUM"
"32290",0.93,"COL1A2","COL5A3"
"32291",0.91,"COL11A1","COL5A3"
"32292",0.999,"ICAM1","VCAM1"
"32293",0.916,"ICAM1","NRAS"
"32294",0.967,"ICAM1","ITGB1"
"32295",0.949,"ICAM1","SELE"
"32296",0.943,"CXCL8","ICAM1"
"32297",0.992,"CD2","ICAM1"
"32298",0.982,"ICAM1","ITGAX"
"32299",0.992,"ICAM1","ICAM2"
"32300",0.996,"CD58","ICAM1"
"32301",0.999,"ICAM1","ITGAL"
"32302",0.972,"CD40","ICAM1"
"32303",0.977,"CD28","ICAM1"
"32304",0.916,"CD55","ICAM1"
"32305",0.912,"CD9","ICAM1"
"32306",0.922,"HRAS","ICAM1"
"32307",0.927,"ICAM1","SELL"
"32308",0.993,"ICAM1","MUC1"
"32309",0.986,"ICAM1","ITGA4"
"32310",0.991,"ICAM1","MSN"
"32311",0.934,"CAV1","ICAM1"
"32312",0.952,"ICAM1","PLCG2"
"32313",0.944,"ICAM1","TNF"
"32314",0.995,"CD44","ICAM1"
"32315",0.998,"EZR","ICAM1"
"32316",0.985,"CD86","ICAM1"
"32317",0.977,"ICAM1","SPN"
"32318",0.947,"ICAM1","IL6"
"32319",0.999,"ICAM1","ITGB2"
"32320",0.947,"AREG","ICAM1"
"32321",0.999,"ICAM1","ITGAM"
"32322",0.976,"CD99","ICAM1"
"32323",0.904,"FN1","ICAM1"
"32324",0.997,"GATA1","KLF1"
"32325",0.934,"HBG1","KLF1"
"32326",0.91,"KLF1","UBA52"
"32327",0.908,"KLF1","UBB"
"32328",0.928,"KLF1","TAL1"
"32329",0.95,"KLF1","UBC"
"32330",0.906,"AHSP","KLF1"
"32331",0.959,"KLF1","RPS27A"
"32332",0.907,"PI4K2B","PTEN"
"32333",0.943,"PI4K2B","PIP5K1A"
"32334",0.952,"PI4K2B","PIP5K1C"
"32335",0.929,"PI4K2B","PIK3C2A"
"32336",0.908,"INPP5F","PI4K2B"
"32337",0.921,"PI4K2B","PIK3C2G"
"32338",0.919,"PI4K2B","PIK3C2B"
"32339",0.908,"PI4K2A","PI4K2B"
"32340",0.983,"PI4K2B","PI4KB"
"32341",0.921,"PI4K2B","PIP5KL1"
"32342",0.916,"PI4K2B","PIK3R1"
"32343",0.936,"PI4K2B","PIP5K1B"
"32344",0.913,"CREB5","PPARGC1A"
"32345",0.924,"OGT","PPARGC1A"
"32346",0.919,"CRTC2","PPARGC1A"
"32347",0.985,"NRIP1","PPARGC1A"
"32348",0.928,"MAPK11","PPARGC1A"
"32349",0.937,"PPARGC1A","PRKAG3"
"32350",0.999,"PPARG","PPARGC1A"
"32351",0.903,"LEP","PPARGC1A"
"32352",0.969,"PPARD","PPARGC1A"
"32353",0.999,"NRF1","PPARGC1A"
"32354",0.902,"GABPA","PPARGC1A"
"32355",0.973,"PPARGC1A","SOD2"
"32356",0.987,"FOXO3","PPARGC1A"
"32357",0.947,"LPIN1","PPARGC1A"
"32358",0.999,"ESRRA","PPARGC1A"
"32359",0.902,"PPARGC1A","TAF4B"
"32360",0.988,"PPARGC1A","TFAM"
"32361",0.957,"GPX7","PPARGC1A"
"32362",0.958,"GPX3","PPARGC1A"
"32363",0.927,"PPARGC1A","PRKAG1"
"32364",0.928,"PPARGC1A","UCP2"
"32365",0.917,"PPARGC1A","UCP3"
"32366",0.944,"ADIPOQ","PPARGC1A"
"32367",0.943,"MEF2C","PPARGC1A"
"32368",0.942,"NFE2L2","PPARGC1A"
"32369",0.962,"PPARGC1A","PRKAA1"
"32370",0.934,"NR5A1","PPARGC1A"
"32371",0.901,"CREB3L1","PPARGC1A"
"32372",0.936,"PPARGC1A","PRKAB1"
"32373",0.995,"PPARGC1A","PRDM16"
"32374",0.953,"CEBPB","PPARGC1A"
"32375",0.967,"ESRRG","PPARGC1A"
"32376",0.913,"PPARGC1A","RXRA"
"32377",0.933,"PPARGC1A","PRKAG2"
"32378",0.999,"FOXO1","PPARGC1A"
"32379",0.996,"CREB1","PPARGC1A"
"32380",0.982,"HTT","PPARGC1A"
"32381",0.952,"NCOA1","PPARGC1A"
"32382",0.91,"PPARGC1A","SLC7A1"
"32383",0.98,"PPARGC1A","SIRT3"
"32384",0.998,"HNF4A","PPARGC1A"
"32385",0.958,"GPX2","PPARGC1A"
"32386",0.906,"CREB3L2","PPARGC1A"
"32387",0.958,"PPARGC1A","SOD1"
"32388",0.94,"CREB3","PPARGC1A"
"32389",0.957,"GPX6","PPARGC1A"
"32390",0.93,"INS","PPARGC1A"
"32391",0.983,"NR1H4","PPARGC1A"
"32392",0.983,"NR5A2","PPARGC1A"
"32393",0.957,"GPX8","PPARGC1A"
"32394",0.964,"PPARGC1A","PRKAA2"
"32395",0.957,"GPX5","PPARGC1A"
"32396",0.999,"PPARA","PPARGC1A"
"32397",0.905,"PPARGC1A","SMARCD1"
"32398",0.98,"ESR1","PPARGC1A"
"32399",0.904,"CREB3L4","PPARGC1A"
"32400",0.91,"F13A1","FGA"
"32401",0.997,"F13A1","F13B"
"32402",0.954,"F13A1","F2"
"32403",0.986,"NUP43","NUP54"
"32404",0.999,"NUP54","NUP98"
"32405",0.979,"NUP54","NUP62CL"
"32406",0.961,"AHCTF1","NUP54"
"32407",0.983,"NUP153","NUP54"
"32408",0.916,"NUP54","RAE1"
"32409",0.999,"NUP54","RANBP2"
"32410",0.968,"NUP37","NUP54"
"32411",0.993,"NUP35","NUP54"
"32412",0.926,"NUP50","NUP54"
"32413",0.999,"NUP54","NUP58"
"32414",0.999,"NUP54","NUP93"
"32415",0.981,"NUP160","NUP54"
"32416",0.984,"NUP54","SEC13"
"32417",0.903,"NUP54","POM121"
"32418",0.988,"NUP54","SEH1L"
"32419",0.924,"GLE1","NUP54"
"32420",0.999,"NUP205","NUP54"
"32421",0.999,"NUP54","NUP62"
"32422",0.959,"NDC1","NUP54"
"32423",0.995,"NUP214","NUP54"
"32424",0.981,"NUP188","NUP54"
"32425",0.984,"NUP54","NUP88"
"32426",0.912,"KPNB1","NUP54"
"32427",0.996,"SCARB2","TLR4"
"32428",0.918,"FCGR3B","SCARB2"
"32429",0.973,"LYN","SCARB2"
"32430",0.976,"GBA","SCARB2"
"32431",0.956,"SCARB2","THBS2"
"32432",0.994,"CD47","SCARB2"
"32433",0.942,"FYN","SCARB2"
"32434",0.946,"CD63","SCARB2"
"32435",0.918,"FCGR3A","SCARB2"
"32436",0.917,"SCARB2","TFRC"
"32437",0.945,"CAV1","SCARB2"
"32438",0.909,"PPARA","SCARB2"
"32439",0.993,"SCARB2","TLR6"
"32440",0.932,"SCARB2","TLR1"
"32441",0.99,"GORASP1","USO1"
"32442",0.997,"GOLGA2","USO1"
"32443",0.994,"GOSR2","USO1"
"32444",0.91,"RAB1B","USO1"
"32445",0.985,"BET1L","USO1"
"32446",0.998,"STX5","USO1"
"32447",0.99,"RAB1A","USO1"
"32448",0.991,"GOLGB1","USO1"
"32449",0.97,"SCFD1","USO1"
"32450",0.921,"ARSB","HYAL1"
"32451",0.912,"ARSB","HYAL2"
"32452",0.94,"ARSB","ARSG"
"32453",0.918,"ARSB","SPAM1"
"32454",0.908,"ARSB","HYAL3"
"32455",0.947,"ARSB","SUMF1"
"32456",0.908,"AK3","PDE8B"
"32457",0.905,"ADSL","PDE8B"
"32458",0.907,"ENPP1","PDE8B"
"32459",0.937,"PDE8A","PDE8B"
"32460",0.905,"ENPP3","PDE8B"
"32461",0.907,"ADK","PDE8B"
"32462",0.904,"APRT","PDE8B"
"32463",0.988,"RAD18","UBE2N"
"32464",0.992,"RAD18","UBE2V2"
"32465",0.917,"RAD18","REV3L"
"32466",0.981,"RAD18","UBB"
"32467",0.994,"RAD18","SHPRH"
"32468",0.96,"RAD18","RAD51C"
"32469",0.949,"RAD18","UBA52"
"32470",0.999,"RAD18","UBE2A"
"32471",0.924,"RAD18","SLF2"
"32472",0.903,"RAD18","UBE2I"
"32473",0.939,"FANCD2","RAD18"
"32474",0.916,"POLL","RAD18"
"32475",0.956,"RAD18","SLF1"
"32476",0.97,"POLH","RAD18"
"32477",0.929,"RAD18","SMC5"
"32478",0.998,"PCNA","RAD18"
"32479",0.957,"FANCM","RAD18"
"32480",0.965,"RAD18","RPS27A"
"32481",0.994,"RAD18","RAD51"
"32482",0.996,"HLTF","RAD18"
"32483",0.999,"RAD18","UBE2B"
"32484",0.995,"RAD18","UBC"
"32485",0.983,"RAD18","RAD52"
"32486",0.931,"RAD18","TP53BP1"
"32487",0.984,"CS","SDHA"
"32488",0.999,"SDHA","SDHD"
"32489",0.955,"OGDH","SDHA"
"32490",0.95,"SDHA","SDHAF3"
"32491",0.999,"NDUFS8","SDHA"
"32492",0.976,"MT-CO3","SDHA"
"32493",0.998,"NDUFS2","SDHA"
"32494",0.916,"GPT","SDHA"
"32495",0.999,"SDHA","SDHAF2"
"32496",0.993,"SDHA","UQCRFS1"
"32497",0.912,"GPD2","SDHA"
"32498",0.912,"GPT2","SDHA"
"32499",0.997,"SDHA","SUCLG2"
"32500",0.999,"NDUFV1","SDHA"
"32501",0.949,"MT-ND1","SDHA"
"32502",0.972,"ATP5F1A","SDHA"
"32503",0.966,"CYC1","SDHA"
"32504",0.99,"SDHA","UQCRC2"
"32505",0.998,"SDHA","SUCLA2"
"32506",0.905,"MDH2","SDHA"
"32507",0.958,"MT-CO2","SDHA"
"32508",0.982,"NDUFA9","SDHA"
"32509",0.918,"FLAD1","SDHA"
"32510",0.964,"ACLY","SDHA"
"32511",0.92,"QPRT","SDHA"
"32512",0.93,"CYCS","SDHA"
"32513",0.964,"NDUFB8","SDHA"
"32514",0.999,"SDHA","SDHB"
"32515",0.999,"SDHA","SDHC"
"32516",0.997,"SDHA","SDHAF1"
"32517",0.92,"HTT","SDHA"
"32518",0.956,"GOT1L1","SDHA"
"32519",0.937,"MT-ND3","SDHA"
"32520",0.922,"MT-ND4","SDHA"
"32521",0.92,"SDHA","SDHAF4"
"32522",0.999,"SDHA","SUCLG1"
"32523",0.982,"MT-CO1","SDHA"
"32524",0.961,"GOT1","SDHA"
"32525",0.999,"FH","SDHA"
"32526",0.924,"MT-CYB","SDHA"
"32527",0.995,"NDUFS1","SDHA"
"32528",0.984,"NDUFV2","SDHA"
"32529",0.924,"PDCD6","SAR1A"
"32530",0.971,"KLHL12","PDCD6"
"32531",0.943,"PDCD6","SEC24B"
"32532",0.935,"PDCD6","SEC23A"
"32533",0.918,"PDCD6","SEC24A"
"32534",0.999,"PDCD6","PDCD6IP"
"32535",0.963,"PDCD6","SEC13"
"32536",0.922,"PDCD6","SEC24C"
"32537",0.919,"PDCD6","SEC24D"
"32538",0.991,"PDCD6","PEF1"
"32539",0.986,"HEBP2","PDCD6"
"32540",0.999,"PDCD6","SEC31A"
"32541",0.906,"PDCD6","TMED7"
"32542",0.909,"CEP72","PCM1"
"32543",0.972,"CHP1","SLC9A3"
"32544",0.904,"SLC26A3","SLC9A3"
"32545",0.995,"SLC9A3","SLC9A3R2"
"32546",0.901,"SLC26A6","SLC9A3"
"32547",0.953,"PDZK1","SLC9A3"
"32548",0.969,"EIF4E","XRN1"
"32549",0.982,"UPF1","XRN1"
"32550",0.991,"LSM3","XRN1"
"32551",0.985,"XRN1","XRN2"
"32552",0.906,"RACK1","XRN1"
"32553",0.999,"DCP2","XRN1"
"32554",0.969,"XRN1","ZFP36"
"32555",0.999,"EDC3","XRN1"
"32556",0.966,"DKC1","XRN1"
"32557",0.993,"DCP1B","XRN1"
"32558",0.998,"PATL2","XRN1"
"32559",0.999,"DCP1A","XRN1"
"32560",0.984,"LSM6","XRN1"
"32561",0.999,"PATL1","XRN1"
"32562",0.999,"LSM1","XRN1"
"32563",0.974,"LSM5","XRN1"
"32564",0.993,"DDX6","XRN1"
"32565",0.978,"LSM2","XRN1"
"32566",0.995,"EDC4","XRN1"
"32567",0.939,"SKIV2L","XRN1"
"32568",0.937,"FAU","XRN1"
"32569",0.974,"TNRC6A","XRN1"
"32570",0.999,"GRK7","RHO"
"32571",0.932,"ARRB2","GRK7"
"32572",0.957,"GRK7","SAG"
"32573",0.943,"ARRB1","GRK7"
"32574",0.91,"GRK1","GRK7"
"32575",0.982,"GRPEL1","HSPD1"
"32576",0.953,"GRPEL1","TIMM17A"
"32577",0.993,"CLPB","GRPEL1"
"32578",0.975,"GRPEL1","HSPA4"
"32579",0.908,"GRPEL1","PAM16"
"32580",0.911,"GRPEL1","HSPA8"
"32581",0.999,"GRPEL1","HSPA9"
"32582",0.997,"GRPEL1","TIMM44"
"32583",0.999,"EVC","EVC2"
"32584",0.905,"MGAT4A","MGAT4B"
"32585",0.991,"MGAT4A","MGAT5"
"32586",0.909,"MGAT4A","MGAT4D"
"32587",0.968,"MGAT3","MGAT4A"
"32588",0.967,"MGAT2","MGAT4A"
"32589",0.99,"MGAT4A","MGAT5B"
"32590",0.959,"FUT8","MGAT4A"
"32591",0.954,"DLG1","ZAP70"
"32592",0.992,"GRB2","ZAP70"
"32593",0.91,"PTPN22","ZAP70"
"32594",0.956,"TRAT1","ZAP70"
"32595",0.998,"CD3D","ZAP70"
"32596",0.912,"SHC4","ZAP70"
"32597",0.998,"CD3E","ZAP70"
"32598",0.977,"SYK","ZAP70"
"32599",0.997,"SHC1","ZAP70"
"32600",0.938,"SHC3","ZAP70"
"32601",0.944,"PIK3CD","ZAP70"
"32602",0.921,"PIK3CB","ZAP70"
"32603",0.976,"FCER1G","ZAP70"
"32604",0.937,"VAV2","ZAP70"
"32605",0.996,"CBLB","ZAP70"
"32606",0.961,"CD8B","ZAP70"
"32607",0.992,"CD8A","ZAP70"
"32608",0.993,"FYN","ZAP70"
"32609",0.902,"ITK","ZAP70"
"32610",0.999,"CD247","ZAP70"
"32611",0.999,"LAT","ZAP70"
"32612",0.986,"PTPN11","ZAP70"
"32613",0.999,"LCK","ZAP70"
"32614",0.907,"CD8B2","ZAP70"
"32615",0.999,"VAV1","ZAP70"
"32616",0.951,"MAPK11","ZAP70"
"32617",0.972,"PTPN6","ZAP70"
"32618",0.974,"GRAP2","ZAP70"
"32619",0.955,"VAV3","ZAP70"
"32620",0.949,"PIK3R1","ZAP70"
"32621",0.941,"CD28","ZAP70"
"32622",0.994,"CD3G","ZAP70"
"32623",0.963,"UBASH3A","ZAP70"
"32624",0.993,"PPP2R1A","PPP2R3A"
"32625",0.964,"PPP2R3A","RYR2"
"32626",0.951,"PPP2R2A","PPP2R3A"
"32627",0.905,"PPP2R3A","TNNI3"
"32628",0.904,"DRD2","PPP2R3A"
"32629",0.912,"BCL2","PPP2R3A"
"32630",0.939,"PPP2R1B","PPP2R3A"
"32631",0.996,"PPP2CA","PPP2R3A"
"32632",0.922,"PPP2R2D","PPP2R3A"
"32633",0.919,"PPP2R3A","PTPA"
"32634",0.955,"PPP2R3A","PPP2R5C"
"32635",0.979,"CD19","CEP70"
"32636",0.994,"ACAD11","UBXN7"
"32637",0.994,"ACAD11","NSFL1C"
"32638",0.902,"GTPBP3","MRPL3"
"32639",0.986,"MRPL3","MRPL58"
"32640",0.999,"MRPL19","MRPL3"
"32641",0.929,"MRPL3","RPL35A"
"32642",0.923,"MRPL3","RPL28"
"32643",0.947,"MRPL3","MRPL52"
"32644",0.999,"MRPL3","MRPL9"
"32645",0.94,"MRPL3","RPL31"
"32646",0.997,"MRPL23","MRPL3"
"32647",0.97,"MRPL3","MRPS18C"
"32648",0.971,"MRPL3","RPS11"
"32649",0.998,"MRPL3","MRPL47"
"32650",0.997,"MRPL3","MRPS14"
"32651",0.997,"MRPL3","MRPS15"
"32652",0.95,"MRPL3","RPL21"
"32653",0.997,"MRPL3","MRPL46"
"32654",0.952,"MRPL3","MRPL42"
"32655",0.991,"MRPL3","MRPL43"
"32656",0.948,"MRPL3","RPS26"
"32657",0.986,"MRPL3","MTG1"
"32658",0.931,"MRPL3","RPL38"
"32659",0.993,"MRPL1","MRPL3"
"32660",0.999,"MRPL20","MRPL3"
"32661",0.996,"DAP3","MRPL3"
"32662",0.998,"MRPL3","MRPS5"
"32663",0.984,"MRPL3","RPS9"
"32664",0.992,"MALSU1","MRPL3"
"32665",0.977,"MRM3","MRPL3"
"32666",0.942,"MRPL3","PPP1R26"
"32667",0.983,"MRPL3","MRRF"
"32668",0.993,"MRPL10","MRPL3"
"32669",0.908,"MRPL3","RPLP2"
"32670",0.987,"MRPL3","MRPL38"
"32671",0.997,"MRPL24","MRPL3"
"32672",0.956,"CUL7","MRPL3"
"32673",0.981,"MRPL3","MRPL30"
"32674",0.975,"MRPL3","RPS3"
"32675",0.988,"MRPL3","MRPS2"
"32676",0.976,"MRPL28","MRPL3"
"32677",0.953,"MRPL3","RPS3A"
"32678",0.997,"MRPL16","MRPL3"
"32679",0.998,"MRPL22","MRPL3"
"32680",0.997,"MRPL3","MRPL41"
"32681",0.979,"FAU","MRPL3"
"32682",0.964,"MRPL3","PDCD11"
"32683",0.992,"MRPL3","MRPL40"
"32684",0.997,"MRPL2","MRPL3"
"32685",0.904,"MRPL3","RPL36"
"32686",0.999,"MRPL13","MRPL3"
"32687",0.999,"MRPL3","MRPL4"
"32688",0.997,"MRPL3","MRPS11"
"32689",0.905,"MRPL14","MRPL3"
"32690",0.953,"MRPL3","RPL13"
"32691",0.935,"MRPL3","MRPS27"
"32692",0.921,"MRPL3","MRPL55"
"32693",0.934,"MRPL3","RPS21"
"32694",0.913,"MRPL3","RPL9"
"32695",0.954,"MRPL3","RPL18"
"32696",0.98,"MRPL3","MRPS30"
"32697",0.927,"MRPL3","MRPL35"
"32698",0.905,"DDX28","MRPL3"
"32699",0.906,"MRPL3","NSA2"
"32700",0.997,"MRPL3","TUFM"
"32701",0.972,"MRPL3","RPL11"
"32702",0.97,"MRPL3","RPS24"
"32703",0.998,"MRPL3","MRPS12"
"32704",0.961,"GADD45GIP1","MRPL3"
"32705",0.997,"MRPL11","MRPL3"
"32706",0.976,"MRPL3","RPL5"
"32707",0.996,"MRPL3","RPS18"
"32708",0.969,"MRPL3","RPL34"
"32709",0.915,"MRPL3","MRPL54"
"32710",0.973,"MRPL3","MRPL37"
"32711",0.993,"MRPL3","MRPL49"
"32712",0.971,"MRPL3","RPL15"
"32713",0.995,"MRPL3","RPL23"
"32714",0.969,"MRPL3","RPS19"
"32715",0.938,"ACSF2","MRPL3"
"32716",0.999,"MRPL3","MRPS16"
"32717",0.92,"MRPL3","MRPS22"
"32718",0.944,"MRPL3","RPS5"
"32719",0.924,"GTPBP8","MRPL3"
"32720",0.998,"MRPL3","MRPL33"
"32721",0.956,"MRPL3","RPS28"
"32722",0.972,"MRPL3","MRPS18A"
"32723",0.927,"MRPL3","RPS7"
"32724",0.918,"MRPL3","RPLP1"
"32725",0.998,"MRPL3","MRPL36"
"32726",0.969,"MRPL3","RPL30"
"32727",0.953,"MRPL3","RPS17"
"32728",0.97,"MRPL18","MRPL3"
"32729",0.91,"GFM2","MRPL3"
"32730",0.935,"MRPL3","UBA52"
"32731",0.969,"MRPL3","RPS6"
"32732",0.943,"HIBCH","MRPL3"
"32733",0.903,"MRPL3","MTG2"
"32734",0.999,"MRPL17","MRPL3"
"32735",0.978,"MRPL3","RPS8"
"32736",0.976,"MRPL3","RPS15"
"32737",0.906,"MRPL3","RPS2"
"32738",0.96,"MRPL3","MRPL50"
"32739",0.929,"CCDC105","MRPL3"
"32740",0.947,"MRPL3","RPL37A"
"32741",0.998,"MRPL3","MRPS6"
"32742",0.954,"MRPL3","RPL24"
"32743",0.999,"MRPL21","MRPL3"
"32744",0.991,"MRPL3","MRPL39"
"32745",0.907,"MRPL3","RPS20"
"32746",0.971,"MRPL3","RPL23A"
"32747",0.924,"MRPL3","RPS25"
"32748",0.997,"MRPL12","MRPL3"
"32749",0.947,"GTPBP6","MRPL3"
"32750",0.989,"MRPL3","NDUFAB1"
"32751",0.925,"GALNT7","GCNT1"
