"","score","protein1","protein2"
"154",0.957,"CACNA1D","CACNG3"
"155",0.91,"CACNA1C","CACNG3"
"156",0.958,"CACNB4","CACNG3"
"157",0.913,"CACNG3","CACNG8"
"158",0.905,"CACNG3","CACNG4"
"159",0.915,"CACNA2D4","CACNG3"
"160",0.912,"CACNB1","CACNG3"
"161",0.923,"CACNG3","GRIA2"
"162",0.908,"CACNG3","CACNG6"
"163",0.938,"CACNB3","CACNG3"
"164",0.915,"CXXC4","DVL2"
"165",0.911,"DVL2","GNAQ"
"166",0.921,"DVL2","FRAT1"
"167",0.93,"DVL2","NOTCH3"
"168",0.916,"DVL2","WNT3A"
"169",0.994,"DVL2","VANGL1"
"170",0.99,"DVL2","DVL3"
"171",0.992,"DACT1","DVL2"
"172",0.964,"DVL2","FZD5"
"173",0.904,"DVL2","FRAT2"
"174",0.906,"CSNK2A3","DVL2"
"175",0.93,"CTNNB1","DVL2"
"176",0.991,"DVL1","DVL2"
"177",0.969,"AXIN2","DVL2"
"178",0.931,"DVL2","NOTCH1"
"179",0.957,"DVL2","NKD2"
"180",0.979,"DVL2","PRICKLE1"
"181",0.942,"DVL2","WWTR1"
"182",0.981,"ARRB2","DVL2"
"183",0.94,"CSNK2B","DVL2"
"184",0.985,"DVL2","FZD4"
"185",0.97,"DVL2","PRICKLE3"
"186",0.964,"DVL2","FZD7"
"187",0.956,"DVL2","FZD2"
"188",0.926,"DVL2","NOTCH2"
"189",0.918,"CSNK2A2","DVL2"
"190",0.962,"DVL2","NKD1"
"191",0.993,"DVL2","LRP6"
"192",0.937,"DVL2","FZD8"
"193",0.964,"APC","DVL2"
"194",0.928,"DVL2","FZD1"
"195",0.934,"BAMBI","DVL2"
"196",0.976,"DVL2","GSK3B"
"197",0.999,"AXIN1","DVL2"
"198",0.978,"DVL2","WNT5A"
"199",0.943,"CSNK2A1","DVL2"
"200",0.958,"DVL2","PARD6A"
"201",0.906,"DVL2","SENP2"
"202",0.967,"CSNK1E","DVL2"
"203",0.914,"DVL2","PLK1"
"204",0.929,"ARRB1","DVL2"
"205",0.971,"DVL2","PRICKLE2"
"206",0.914,"DVL2","NOTCH4"
"207",0.933,"DVL2","FZD6"
"208",0.969,"DVL2","PRICKLE4"
"209",0.978,"DAAM1","DVL2"
"210",0.994,"DVL2","VANGL2"
"211",0.942,"DVL2","INVS"
"212",0.936,"DAAM2","DVL2"
"213",0.927,"DVL2","FZD9"
"214",0.908,"APC2","DVL2"
"215",0.987,"PDRG1","RPAP3"
"216",0.999,"RPAP3","RUVBL1"
"217",0.999,"PIH1D1","RPAP3"
"218",0.935,"GPN1","RPAP3"
"219",0.963,"RPAP2","RPAP3"
"220",0.977,"RPAP3","URI1"
"221",0.936,"POLR2J","RPAP3"
"222",0.99,"HSP90AA1","RPAP3"
"223",0.999,"RPAP3","RUVBL2"
"224",0.904,"RPAP3","TARBP2"
"225",0.992,"HSP90AB1","RPAP3"
"226",0.902,"PIH1D2","RPAP3"
"227",0.995,"RPAP3","WDR92"
"228",0.989,"RPAP3","UXT"
"229",0.986,"PFDN2","RPAP3"
"230",0.996,"PFDN6","RPAP3"
"231",0.931,"RPAP1","RPAP3"
"232",0.988,"POLR2E","RPAP3"
"233",0.981,"FYB1","SKAP2"
"234",0.901,"ITGA4","SKAP2"
"235",0.914,"ITGB1","SKAP2"
"236",0.992,"CCL11","CX3CL1"
"237",0.977,"CCR5","CX3CL1"
"238",0.915,"CCR7","CX3CL1"
"239",0.953,"CSF2","CX3CL1"
"240",0.923,"CX3CL1","IFNG"
"241",0.931,"CCL21","CX3CL1"
"242",0.939,"CX3CL1","CXCL1"
"243",0.971,"CCL5","CX3CL1"
"244",0.942,"CSF3","CX3CL1"
"245",0.968,"CX3CL1","FGF13"
"246",0.971,"CX3CL1","FGF2"
